target,split,config,n,mae,rmse,r2
MeltingPoint,leave_period_out,message_bits,103,740.6343400900037,944.8063777200724,-0.1409377778708869
MeltingPoint,leave_period_out,golay_bits,103,761.1666165455418,960.6377787409397,-0.17949377180203263
MeltingPoint,leave_period_out,mog_planar,103,722.7348726567348,889.6744131581474,-0.011669201843315768
MeltingPoint,leave_period_out,mog_stacked,103,737.0431223183002,907.5482772437617,-0.05272709612882909
MeltingPoint,leave_period_out,mog_cylinder,103,748.1377103126822,913.794887190994,-0.06726870625193038
MeltingPoint,leave_period_out,mog_sphere,103,723.5115221069678,923.2710771962232,-0.08951895338438343
MeltingPoint,leave_period_out,gray_message_bits,103,844.7618262023516,1050.9129663254107,-0.41159408173656686
MeltingPoint,leave_period_out,gray_golay_bits,103,869.1725754569234,1080.5909825277647,-0.49244730483085375
MeltingPoint,leave_period_out,gray_mog_planar,103,813.3624798623217,990.777291379551,-0.2546668281502611
MeltingPoint,leave_period_out,gray_mog_stacked,103,830.1702959552501,1014.2556953049353,-0.31483494511814225
MeltingPoint,leave_period_out,gray_mog_cylinder,103,824.9675647949741,1008.0833698851094,-0.2988805951577087
MeltingPoint,leave_period_out,gray_mog_sphere,103,812.766843529462,987.5622313466318,-0.24653728310312673
MeltingPoint,leave_period_out,random_00,103,752.9399400036747,939.3822567927314,-0.12787516455155812
MeltingPoint,leave_period_out,random_01,103,747.2599096229441,940.6156370729337,-0.13083884033255866
MeltingPoint,leave_period_out,random_02,103,739.8736696960447,943.6094371235621,-0.13804878444262747
MeltingPoint,leave_period_out,random_03,103,745.1388990335032,930.2807168353849,-0.10612540122615743
MeltingPoint,leave_period_out,random_04,103,802.1137372430043,1011.1296944234188,-0.306742624207055
MeltingPoint,leave_period_out,random_05,103,754.6838765398002,955.113572983433,-0.1659672756044306
MeltingPoint,leave_period_out,random_06,103,758.3117557039978,939.7114804913364,-0.12866587205973845
MeltingPoint,leave_period_out,random_07,103,750.4774152687012,950.9232100922843,-0.15575883889640307
MeltingPoint,leave_group_out,z_poly,103,726.3024085203866,901.4271521889995,-0.03857436525614344
MeltingPoint,leave_group_out,message_bits,103,636.9425203377458,824.9356740284211,0.13020581922563834
MeltingPoint,leave_group_out,golay_bits,103,701.2476777073532,891.9562332855991,-0.016865276820228425
