candidate_id,topology,series_kind,series_value,series_unit,shunt_kind,shunt_value,shunt_unit,x0,b0,centre_gamma,mean_gamma,worst_gamma,mean_reflected_power,worst_vswr,raw_z_distance,smith_score,glm_score
LNET-00797,series_then_shunt,C,1.6243683359034905e-11,F,L,1.3536402799195764e-08,H,-0.20000000000000018,-0.6000000000000001,0.18322149400760293,0.1933462386115629,0.3381401114062876,0.045934362109884413,2.021787593518475,0.3177570333252075,0.1933462386115629,
LNET-02479,shunt_then_series,C,1.6243683359034905e-11,F,L,2.0304604198793658e-08,H,-0.20000000000000018,-0.3999999999999999,0.2700648364392585,0.28092993542904765,0.34045078389924,0.07983984125874193,2.032374159769235,0.4459472031776821,0.28092993542904765,
LNET-00754,series_then_shunt,C,8.121841679517462e-12,F,L,8.12184167951746e-09,H,-0.3999999999999999,-1.0,0.10875003792938974,0.19830800467495527,0.3405236888008626,0.04397992761686639,2.0327093877919054,0.37141647742150835,0.19830800467495527,
LNET-02606,shunt_then_series,L,3.248736671806987e-09,H,C,1.2994946687227947e-12,F,0.40000000000000036,0.40000000000000036,0.3216714477557299,0.33020125832003816,0.3479163836605459,0.10908827401098509,2.067091320630364,0.5274944163263022,0.33020125832003816,
LNET-02438,shunt_then_series,C,8.121841679517462e-12,F,L,2.0304604198793658e-08,H,-0.3999999999999999,-0.3999999999999999,0.3170587151833171,0.3243077780193955,0.3502809775243752,0.10526634092409648,2.07825372324701,0.5253177168716796,0.3243077780193955,
LNET-00928,series_then_shunt,L,3.248736671806987e-09,H,C,3.248736671806984e-12,F,0.40000000000000036,1.0,0.15079746653773715,0.21086848931566807,0.3555030627429977,0.049008958148974505,2.103195507044701,0.3832049873092809,0.21086848931566807,
LNET-00842,series_then_shunt,none,0.0,,C,6.497473343613974e-13,F,0.0,0.20000000000000018,0.27028340734728085,0.272408480041424,0.3583234190521929,0.0758655078665561,2.116834959203033,0.4350557490612654,0.272408480041424,
LNET-02523,shunt_then_series,none,0.0,,C,6.497473343613974e-13,F,0.0,0.20000000000000018,0.27028340734728085,0.272408480041424,0.3583234190521929,0.0758655078665561,2.116834959203033,0.4350557490612654,0.272408480041424,
LNET-00967,series_then_shunt,L,4.8731050077104735e-09,H,C,1.949242003084189e-12,F,0.5999999999999996,0.5999999999999996,0.13733278419876138,0.19840114053096983,0.36126791768100164,0.04470543238387322,2.1312032937796777,0.4725925429794663,0.19840114053096983,
LNET-00924,series_then_shunt,L,3.248736671806987e-09,H,C,6.497473343613974e-13,F,0.40000000000000036,0.20000000000000018,0.2553276861926669,0.27793960683893837,0.3661382169791009,0.07895527307156361,2.15526200438883,0.49193797120301197,0.27793960683893837,
LNET-02565,shunt_then_series,L,1.6243683359034936e-09,H,C,1.2994946687227947e-12,F,0.20000000000000018,0.40000000000000036,0.2886299862242562,0.2905074160358576,0.3674769734316331,0.08570820961712755,2.1619402235055674,0.45572813280847285,0.2905074160358576,
LNET-02563,shunt_then_series,L,1.6243683359034936e-09,H,none,0.0,,0.20000000000000018,0.0,0.2692684343637576,0.28932459842263936,0.36947005621554635,0.08513698275280272,2.1719350043805363,0.4694963630135746,0.28932459842263936,
LNET-00882,series_then_shunt,L,1.6243683359034936e-09,H,none,0.0,,0.20000000000000018,0.0,0.2692684343637576,0.2893245984226393,0.3694700562155464,0.0851369827528027,2.1719350043805363,0.4694963630135745,0.2893245984226393,
LNET-02437,shunt_then_series,C,8.121841679517462e-12,F,L,1.3536402799195764e-08,H,-0.3999999999999999,-0.6000000000000001,0.32245683286488375,0.32825609054635213,0.37414256748775,0.10837214040115663,2.1956159599668155,0.5152665199673653,0.32825609054635213,
LNET-00885,series_then_shunt,L,1.6243683359034936e-09,H,C,1.949242003084189e-12,F,0.20000000000000018,0.5999999999999996,0.2248144635522555,0.20629161328375642,0.37572447779501794,0.0526036392462243,2.203713631019632,0.33509888299737045,0.20629161328375642,
LNET-00796,series_then_shunt,C,1.6243683359034905e-11,F,L,1.0152302099396829e-08,H,-0.20000000000000018,-0.7999999999999998,0.20559032810774888,0.21745172842470337,0.37689514325329687,0.05778396556320956,2.2097326450674983,0.35320558784846523,0.21745172842470337,
LNET-00839,series_then_shunt,none,0.0,,L,2.0304604198793658e-08,H,0.0,-0.3999999999999999,0.2720497434526909,0.2784301878236277,0.3778149022410107,0.0814804214366843,2.2144775038869917,0.44083087072093174,0.2784301878236277,
LNET-02520,shunt_then_series,none,0.0,,L,2.0304604198793658e-08,H,0.0,-0.3999999999999999,0.2720497434526909,0.2784301878236277,0.3778149022410107,0.0814804214366843,2.2144775038869917,0.44083087072093174,0.2784301878236277,
LNET-02478,shunt_then_series,C,1.6243683359034905e-11,F,L,1.3536402799195764e-08,H,-0.20000000000000018,-0.6000000000000001,0.29034060040059856,0.295902822745728,0.38741437902290166,0.09092378272527779,2.2648497312260134,0.4573137713292168,0.295902822745728,
LNET-00968,series_then_shunt,L,4.8731050077104735e-09,H,C,2.5989893374455867e-12,F,0.5999999999999996,0.7999999999999998,0.06519581002637446,0.17061452196382731,0.3889096644124176,0.04011785746936101,2.2728385371647835,0.41256843991466213,0.17061452196382731,
LNET-02396,shunt_then_series,C,5.414561119678306e-12,F,L,1.3536402799195764e-08,H,-0.6000000000000001,-0.6000000000000001,0.3871645398599621,0.3884490027598415,0.3946759288504893,0.15090519801333357,2.3040153123301357,0.6284069649277241,0.3884490027598415,
